2026-04-25 19:21:07.719 INFO inicioCombate pokemon = {“Alakazam”, 42, a, OK}, pokemonRival={“Charizard”, 50, pablo, OK}, turno=1
2026-04-25 19:21:10.323 INFO debilitado2 pokemon = {“Alakazam”, 42, a, OK}, pokemonRival={“Charizard”, 50, pablo, KO}, turno=1
2026-04-25 19:22:06.449 INFO debilitado2 pokemon = {“Alakazam”, 43, a, OK}, pokemonRival={“Lapras”, 50, pablo, KO}, turno=1
2026-04-25 19:22:41.473 INFO debilitado2 pokemon = {“Alakazam”, 44, a, OK}, pokemonRival={“Jolteon”, 50, pablo, KO}, turno=1
2026-04-25 19:22:49.444 INFO debilitado2 pokemon = {“Alakazam”, 45, a, OK}, pokemonRival={“Snorlax”, 50, pablo, KO}, turno=1
2026-04-25 19:22:57.475 INFO debilitado2 pokemon = {“Alakazam”, 46, a, OK}, pokemonRival={“Nidoking”, 50, pablo, KO}, turno=1
2026-04-25 19:23:05.316 INFO debilitado2 pokemon = {“Alakazam”, 47, a, OK}, pokemonRival={“Alakazam”, 50, pablo, KO}, turno=1
2026-04-25 19:23:10.449 INFO finGanaCombate pokemon = {“Alakazam”, 47, a, OK}, pokemonRival={“Alakazam”, 50, pablo, KO}, turno=2
2026-04-25 19:23:14.195 INFO debilitado2 pokemon = {“Alakazam”, 47, a, OK}, pokemonRival={“Charizard”, 50, pablo, KO}, turno=1
2026-04-25 19:23:16.949 INFO debilitado2 pokemon = {“Alakazam”, 47, a, OK}, pokemonRival={“Charizard”, 50, pablo, KO}, turno=1
2026-04-25 19:23:19.336 INFO finGanaCombate pokemon = {“Alakazam”, 48, a, OK}, pokemonRival={“Charizard”, 50, pablo, KO}, turno=2
2026-04-25 19:23:23.923 INFO debilitado2 pokemon = {“Alakazam”, 48, a, OK}, pokemonRival={“Exeggutor”, 50, luis, KO}, turno=2
2026-04-25 19:23:32.885 INFO debilitado2 pokemon = {“Alakazam”, 49, a, OK}, pokemonRival={“Gengar”, 50, luis, KO}, turno=1
2026-04-25 19:23:41.205 INFO debilitado2 pokemon = {“Alakazam”, 50, a, OK}, pokemonRival={“Rhydon”, 50, luis, KO}, turno=1
2026-04-25 19:23:50.021 INFO debilitado2 pokemon = {“Alakazam”, 51, a, OK}, pokemonRival={“Arcanine”, 50, luis, KO}, turno=1
2026-04-25 19:23:58.886 INFO debilitado2 pokemon = {“Alakazam”, 51, a, OK}, pokemonRival={“Articuno”, 50, luis, KO}, turno=1
2026-04-25 19:24:07.557 INFO debilitado2 pokemon = {“Alakazam”, 52, a, OK}, pokemonRival={“Dragonite”, 50, luis, KO}, turno=1
2026-04-25 19:24:12.696 INFO finGanaCombate pokemon = {“Alakazam”, 53, a, OK}, pokemonRival={“Dragonite”, 50, luis, KO}, turno=2
2026-04-25 19:24:16.053 INFO debilitado2 pokemon = {“Alakazam”, 53, a, OK}, pokemonRival={“Exeggutor”, 50, luis, KO}, turno=1
2026-04-25 19:24:21.197 INFO finGanaCombate pokemon = {“Alakazam”, 53, a, OK}, pokemonRival={“Exeggutor”, 50, luis, KO}, turno=2
2026-04-25 19:24:25.911 INFO debilitado2 pokemon = {“Alakazam”, 53, a, OK}, pokemonRival={“Machamp”, 50, julia, KO}, turno=1
2026-04-25 19:24:34.471 INFO debilitado2 pokemon = {“Alakazam”, 54, a, OK}, pokemonRival={“Gyarados”, 50, julia, KO}, turno=1
2026-04-25 19:24:44.664 INFO debilitado2 pokemon = {“Alakazam”, 55, a, OK}, pokemonRival={“Golem”, 50, julia, KO}, turno=1
2026-04-25 19:24:52.824 INFO debilitado2 pokemon = {“Alakazam”, 55, a, OK}, pokemonRival={“Magmar”, 50, julia, KO}, turno=1
2026-04-25 19:25:08.600 INFO debilitado2 pokemon = {“Alakazam”, 56, a, OK}, pokemonRival={“Victreebel”, 50, julia, KO}, turno=1
2026-04-25 19:25:16.872 INFO debilitado2 pokemon = {“Alakazam”, 57, a, OK}, pokemonRival={“Aerodactyl”, 50, julia, KO}, turno=1
2026-04-25 19:25:22.001 INFO finGanaCombate pokemon = {“Alakazam”, 57, a, OK}, pokemonRival={“Aerodactyl”, 50, julia, KO}, turno=2
2026-04-25 19:25:31.929 INFO debilitado2 pokemon = {“Alakazam”, 57, a, OK}, pokemonRival={“Machamp”, 50, julia, KO}, turno=1
2026-04-25 19:25:37.048 INFO finGanaCombate pokemon = {“Alakazam”, 58, a, OK}, pokemonRival={“Machamp”, 50, julia, KO}, turno=2
2026-04-25 19:25:44.313 INFO debilitado2 pokemon = {“Alakazam”, 58, a, OK}, pokemonRival={“Gengar”, 50, jesus, KO}, turno=1
2026-04-25 19:25:52.346 INFO debilitado2 pokemon = {“Alakazam”, 59, a, OK}, pokemonRival={“Mr Mime”, 50, jesus, KO}, turno=1
2026-04-25 19:26:00.235 INFO debilitado2 pokemon = {“Alakazam”, 59, a, OK}, pokemonRival={“Slowbro”, 50, jesus, KO}, turno=1
2026-04-25 19:26:08.214 INFO debilitado2 pokemon = {“Alakazam”, 60, a, OK}, pokemonRival={“Nidoqueen”, 50, jesus, KO}, turno=1
2026-04-25 19:26:16.603 INFO debilitado2 pokemon = {“Alakazam”, 61, a, OK}, pokemonRival={“Dragonite”, 50, jesus, KO}, turno=1
2026-04-25 19:26:24.731 INFO debilitado2 pokemon = {“Alakazam”, 61, a, OK}, pokemonRival={“Alakazam”, 50, jesus, KO}, turno=1
2026-04-25 19:26:29.927 INFO finGanaCombate pokemon = {“Alakazam”, 62, a, OK}, pokemonRival={“Alakazam”, 50, jesus, KO}, turno=2
2026-04-25 19:26:38.189 INFO debilitado2 pokemon = {“Alakazam”, 62, a, OK}, pokemonRival={“Gengar”, 50, jesus, KO}, turno=1
2026-04-25 19:26:43.337 INFO finGanaCombate pokemon = {“Alakazam”, 62, a, OK}, pokemonRival={“Gengar”, 50, jesus, KO}, turno=2
